"	company",lng,lat
Costco,39.12740401,-77.53157846
Costco,39.03999335,-77.40386239
Costco,38.91401728,-77.44231454
Costco,38.86163935,-77.37639657
Costco,38.80387201,-77.5096058
Costco,38.65281413,-77.28850595
Costco,38.75569675,-77.19512216
Costco,38.75998032,-77.08388559
Costco,38.88943653,-77.06465951
Costco,39.05172546,-77.05229989
Costco,39.17000405,-77.20610849
Costco,39.06345563,-77.06740609
Costco,39.20300134,-76.79549447
Costco,38.95140644,-76.84355966
Costco,39.18384351,-76.73232308
Costco,39.20725793,-76.79549447
Costco,39.2020714,-76.60068024
Costco,38.87874519,-77.05384823
BJ,38.88694641,-77.15414083
BJ,38.82299784,-77.13297629
BJ,38.87706122,-76.85360445
BJ,38.87096006,-77.38954281
BJ,38.96406056,-76.71418156
BJ,38.6630172,-77.31348861
BJ,38.63054566,-76.93118953
BJ,38.95775252,-76.7131675
Walmart,39.10383492,-77.56059125
Walmart,39.0425491,-77.43428427
Walmart,39.21768494,-77.26376986
Walmart,39.04372452,-77.43184953
Walmart,38.85869157,-77.33232631
Walmart,38.79771103,-77.30074061
Walmart,38.80841315,-77.29456081
Walmart,38.7805843,-77.13251247
Walmart,38.7613118,-77.07758082
Walmart,38.79985158,-77.07758082
Walmart,38.77737258,-77.44562282
Walmart,38.769878,-77.44562282
Walmart,38.79557041,-76.89081325
Walmart,38.92008731,-77.01072693
Walmart,38.98203045,-77.03407288
Walmart,38.95106565,-76.91047669
Walmart,38.86557534,-77.33345032
Walmart,38.94358935,-77.24281311
Target,39.04156768,-77.0562812
Target,38.98701765,-77.09161715
Target,38.99027016,-77.02466482
Target,38.98954739,-76.93771978
Target,38.97509052,-76.95538776
Target,38.95556906,-77.08231822
Target,38.94435987,-77.05860593
Target,38.93568057,-77.03303386
Target,38.9222979,-76.98374951
Target,38.9005909,-77.07534402
Target,38.88020607,-77.2291952
Target,38.88393822,-77.17965308
Target,38.88767018,-77.1137301
Target,38.87491852,-77.14249649
Target,38.84940836,-77.11772543
Target,38.85594232,-76.88559664
Target,38.84038428,-77.04980479
Target,38.8105033,-76.98428134
Target,38.78185559,-77.17445915
Target,38.78185559,-77.07897071
Kroger,39.07184512,-77.15705473
Kroger,39.05599481,-77.1104464
Kroger,39.00571206,-77.09800322
Kroger,38.93577846,-77.22915251
Kroger,38.89250253,-77.22434599
Kroger,38.9250955,-77.03895171
Kroger,38.91387666,-77.00393278
Kroger,38.87646772,-77.06641753
Kroger,38.89464024,-77.17284758
Kroger,38.8229922,-77.11310942
Kroger,38.86737972,-77.10212309
Kroger,38.88395108,-77.10898955
Kroger,38.81871242,-77.04513152
Kroger,38.84973498,-77.04993803
Kroger,38.85454762,-77.09045012
Kroger,38.91067095,-77.00461943
Kroger,38.89143366,-77.17078764
Kroger,38.8459916,-77.15156157